track_num,title,artist,album,year,label
112,Masked Flowers (Alternate Version),Jan Jelinek,Kosmokrator,2001,Mille Plateaux
113,The Water Swarms Changed To Mist And Vapor,Jan Jelinek,Kosmokrator,2001,Mille Plateaux
114,Ocean,Dirty Projectors feat. Björk,Homeschool Sessions,2012,Domino Recording Company
117,Place To Be,Nick Drake,Pink Moon,1972,Island Records
120,If I Ever Was a Child,Wilco,A Ghost Is Born,2004,Nonesuch Records
122,Miriam,Jeff Parker,The New Breed,2016,International Anthem
123,Mr. Brightside,The Killers,Hot Fuss,2003,Island Records
125,Through the Night,Duval Timothy,Solitude,2018, 1080p
126,Jesus' Blood Never Failed Me Yet,Gavin Bryars,Jesus' Blood Never Failed Me Yet,1993,Phillips Records
129,What Makes A Man (Comme ils disent),Tim Maia,Racional Vol. 2,1975,Seroma
137,The Haunted Victorian Pencil,A Winged Victory for the Sullen,A Winged Victory for the Sullen,2014,Kranky
142,Magazine,Toro y Moi feat. Salami Rose Joe Louis,Boo Boo,2017,Bar/None Records
144,Morning In The Jungle,Black Flower,Black Flower,2008,Ba Da Bing
146,Hacia Delante (con Chato),Nicola Cruz feat. Chato,Siempre,2014,Feria Records
148,Guayabo,La Perla,La Perla,2010,Sottocultura
151,Ancora tu,Lucio Battisti,Il mio canto libero,1971,Numero Uno
152,Medals,Miru Drake,unknown,unknown,unknown
154,Abbracciai abbracciai abbracciai,Lucio Battisti,Amore e guerra,1971,Numero Uno
155,Fiori rosa fiori di pesco,Lucio Battisti,Anima latina,1974,Numero Uno
156,Anima latina,Lucio Battisti,Anima latina,1974,Numero Uno
157,Una donna per amico,Lucio Battisti,Amore e guerra,1971,Numero Uno
158,Con il nastro rosa,Lucio Battisti,Con il nastro rosa,1971,Numero Uno
159,I giardini di marzo,Lucio Battisti,Amore e guerra,1971,Numero Uno
160,La canzone del sole,Lucio Battisti,La canzone del sole,1971,Numero Uno
161,Un'avventura,Lucio Battisti,Battisti,1972,Numero Uno
162,Il mio canto libero,Lucio Battisti,Il mio canto libero,1971,Numero Uno
163,Wawekunaq Kusuyim,Luzmila Carpio,unknown,unknown,unknown
168,Tiempo de Amor,Herbie Hancock,Maiden Voyage,1965,Blue Note Records
169,Underwater Love,Smoke City,Flying Away,1997,Pias Recordings
171,King in My Empire,Rhythm & Sound,Rhythm & Sound,2002,Burial Mix
172,Eevee,Tom van der Geld feat. Bill Connors & Roger Jannotta,unknown,unknown,unknown
173,Overcome,Tricky feat. Martina Topley-Bird,Maxinquaye,1998,Island Records
174,Flip Ya Lid,Nightmares On Wax,Smokers Delight,1998,Warp Records
178,Tlazocamati (Thank You Song),Sophie Cooper,unknown,unknown,unknown
179,Point and Kill,Little Simz,Grey Area,2019,Secured the Bag Entertainment
181,(I Don't Know) How Glad I Am,Nancy Wilson,unknown,unknown,unknown
186,Quiet Dawn,Archie Shepp,Attica Blues,1972,Impulse! Records
187,Blue World,Mac Miller,Swimming,2018,Warner Bros. Records
188,INTRUDERS,Jessie Reyez,Before Love Came to Kill Us,2018,Def Jam
190,A La Nanita Nana (arr. guitar),Music Lab Collective,unknown,unknown,unknown
191,CLOUT COBAIN,Denzel Curry,Ultimate,2018,Loma Vista Recordings
192,Baby Blue,King Krule,6 Feet Beneath the Moon,2013,True Panther Sounds
193,More,Flying Lotus feat. Anderson .Paak,You're Dead!,2014,Warp Records
194,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane over the Sea,1998,Matador Records
195,Good Times,Eric Burdon & The Animals,unknown,unknown,unknown
197,Mile High,James Blake feat. Travis Scott & Metro Boomin,Assume Form,2019,Polydor Records
198,Eugene,Arlo Parks,Collapsed in Sunbeams,2021,Transgressive Records
204,Siku,Nicola Cruz,Siempre,2014,Feria Records
209,Last Night,Arooj Aftab,Vulture Prince,2021,Linn
210,Wallflowers,Irreversible Entanglements,Irreversible Entanglements,2017,International Anthem
213,Djoulourou - Auntie Flo Remix,Oumou Sangaré feat. Auntie Flo,unknown,unknown,unknown
215,Kammermusik,Henrik Schwarz feat. Bugge Wesseltoft,Konstellationen,2018,HFNT Recordings
218,White Horses,Love,Forever Changes,1968,Elektra Records
220,Almeda,Solange,A Seat at the Table,2016,Saint Heron
223,Kodomotachi,Nobuyoshi Okino,unknown,unknown,unknown
225,Manana Tepotzlan,El Baho,unknown,unknown,unknown
227,French Disko,Stereolab,Dots and Loops,1997,Duophonic
237,Drumming - Four Tet Remix,Steve Reich,Drumming (Remixes),2003,Nonesuch Records
241,After Blue,Joni Mitchell,unknown,unknown,unknown
242,Zucht 2,Machinefabriek,Zucht,2015,Machinefabriek
243,Brakhage,Stereolab,Sound-Dust,2002,Duophonic
249,I'm Holding Out For Something,Virginia Wing,The Big Feud,2017,Stolen Transmission
255,In Another Life,Sandra Perri,untethered,2016,Constellation
256,1983 (A Merman I Should Turn to Be),Jimi Hendrix,Electric Lady Lady,1968,Reprise Records
257,Voodoo Child (Slight Return),Jimi Hendrix,Electric Lady Lady,1968,Reprise Records
258,to here knows when,My Bloody Valentine,Loveless,1991,Creation Records
259,Crosstown Traffic,Jimi Hendrix,Electric Lady Lady,1968,Reprise Records
260,Memories,Public Image Ltd.,Second Edition,1980,Virgin Records
261,And the Gods Made Love,Jimi Hendrix,Electric Lady Lady,1968,Reprise Records
262,Movement 1,Floating Points feat. Pharoah Sanders & London Symphony Orchestra,Promises,2021,Ninja Tune
263,Nexus On the Beach,Roberto Musci,unknown,unknown,unknown
271,Noon Hill Wood,Richard Skelton,Catskin,2019,Sustain-Release
272,Prickly Pear,Portico Quartet,Permutation,2017,Ninja Tune
274,Le vent nous portera,Noir Désir,L'homme est l'avenir de l'homme,2002,Barclay Records
275,Blueberry Hill,Fats Domino,unknown,unknown,unknown
276,The Conversation,Dictaphone,unknown,unknown,unknown
277,Au Hasard,Dans Dans,unknown,unknown,unknown
282,Inspiré,Julianne Barwick,Will,2016,Asthmatic Kitty
289,Is It Enough,Alabaster DePlume,Gold,2020,Rough Trade Records
290,Wildfires,SAULT,5,2020,SAULT
292,Eretz Zavat Chalav U'dvash,Nina Simone,unknown,unknown,unknown
296,The Boat Was My Friend,The Smiths,"Strangeways, Here We Come",1987,Rough Trade Records
297,Screen,Visible Cloaks,Reassemblage,2019,Software
298,You Go Girl,SPARKLE DIVISION,unknown,unknown,unknown
299,Dumb It Down,Eric Copeland,Joke,2009,DFA Records
302,Rain In Cups,Animal Collective,Painting With,2016,Domino Recording Company
304,Walking Flames,Actress feat. Sampha,Ghettoville,2014,Ninja Tune
307,Asafo Beesuon Medley,C.K. Mann & His Carousel 7,unknown,unknown,unknown
310,Down in Mexico,The Coasters,unknown,unknown,unknown
311,These Boots Are Made For Walkin',Nancy Sinatra,Boots,1966,Reprise Records
314,A Mulher Do Fim Do Mundo,Elza Soares,A Mulher Do Fim Do Mundo,1980,CBSO
315,Blue Maqams,Anouar Brahem feat. Dave Holland / Jack DeJohnette / Django Bates,Thimar,2000,ECM Records
318,Caminos a la Puna,Jaime Torres,unknown,unknown,unknown
319,Wolf,Darkstar,Darkstar,2010,Hyperdub
320,Etude No. 2,Philip Glass,Glassworks,1981,CBS Records
321,Brothers & Sisters,Bongmaster Inc,unknown,unknown,unknown
322,Afro Blue,Melanie De Biasio,Efè,2013,Songlines
325,Love Is Everywhere,Pharoah Sanders,Love Is Everywhere,1979,Leon Thomas
347,Cha Cha,Mulatu Astatke feat. The Heliocentrics,Timeless,2015,Strut Records
350,Company in My Back,Wilco,Yankee Hotel Foxtrot,2002,Nonesuch Records
351,Myself When I Am Real,Charles Mingus,Mingus,1959,Columbia Records
352,Hide and Seek,Imogen Heap,Speak for Yourself,2005,Epic Records
353,Eclipse,Nicola Cruz,Siempre,2014,Feria Records
354,Opus (with Yugen Blakrok),Vince Staples feat. Yugen Blakrok,FM!,2017,Def Jam
355,Moments,Benjamin Clementine feat. STEVEN BROWN / Vini Reilly / Marc Hollander,At Least for Now,2015,InFiné
357,Your Pond,Emily A. Sprague,Water Memory,2017,Hypothetical Imperatives
358,Greensleeves - Take 4,John Coltrane Quartet,unknown,unknown,unknown
359,Greensleeves,John Coltrane Quartet,John Coltrane with Johnny Hartman,1963,Impulse! Records
360,No Bold Villain,Timber Timbre,Timber Timbre,2009,Secretly Canadian
364,Bitches Brew (feat. John Coltrane / Cannonball Adderley / Red Garland / Paul Chambers / Philly Joe Jones),Miles Davis,Bitches Brew,1970,Columbia Records
365,Turtles Have Short Legs,CAN,Tago Mago,1971,United Artists Records
366,Nocturne en Mi Bémol Majeur Op. 9 No. 2,Frédéric Chopin feat. piano,unknown,unknown,unknown
367,HOUSE OF LOVE,ÌFÉ,ÌFÉ,2020,Transgressive Records
368,Black Family,Angel Bat Dawid,The Oracle,2022,Nublu
369,Summon The Fire,The Comet Is Coming,First Manifestation,2017,Impulse! Records
370,The Blues Are Brewin',Billie Holiday,unknown,unknown,unknown
371,In the Morning,Nina Simone,Little Girl Blue,1958,Bethlehem Records
372,Feels Like Summer,Childish Gambino,This Is America,2018,RCA Records
374,Occhi Di Serpente,NOW,unknown,unknown,unknown
375,Tous les garçons et les filles,Françoise Hardy,Tous les garçons et les filles,1962,Disques Vogue
376,Periodically Double or Triple,Yo La Tengo,And Then Nothing Turned Itself Inside-Out,2000,Matador Records
379,BACK AND FORTH (feat. DUCKWRTH),Bas feat. DUCKWRTH,Too High to Riot,2016,Dreamville Records
381,Getting It Back,Cymande,Cymande,1972,Janus Records
382,Song of Abeyi,Mariam Wallentin,Wande,2016,Ninja Tune
383,Mais Bonito Não Há,Milton Nascimento,unknown,unknown,unknown
385,The Departure,Max Richter,Songs from Before,2006,Nettwerk
386,Enlightenment,Sun Ra,Jazz in Silhouette,1959,Saturn
389,Yumeji's Theme,Shigeru Umebayashi,In the Mood for Love: Original Soundtrack,2000,Fortuna
391,Hand in Glove,The Smiths,The Smiths,1984,Rough Trade Records
392,This Charming Man,The Smiths,Hatful of Hollow,1984,Rough Trade Records
393,What Difference Does It Make?,The Smiths,The Smiths,1984,Rough Trade Records
394,Still Ill,The Smiths,The Smiths,1984,Rough Trade Records
395,Heaven Knows I'm Miserable Now,The Smiths,Hatful of Hollow,1984,Rough Trade Records
396,William It Was Really Nothing,The Smiths,Hatful of Hollow,1984,Rough Trade Records
397,How Soon Is Now?,The Smiths,Hatful of Hollow,1984,Rough Trade Records
398,Nowhere Fast,The Smiths,The Queen Is Dead,1986,Rough Trade Records
399,Shakespeare's Sister,The Smiths,The Queen Is Dead,1986,Rough Trade Records
400,Barbarism Begins at Home,The Smiths,The Queen Is Dead,1986,Rough Trade Records
401,That Joke Isn't Funny Anymore,The Smiths,Meat Is Murder,1985,Rough Trade Records
402,The Headmaster Ritual,The Smiths,Meat Is Murder,1985,Rough Trade Records
403,The Boy with the Thorn in His Side,The Smiths,The Queen Is Dead,1986,Rough Trade Records
446,Zephyr,Dans Dans,unknown,unknown,unknown
448,Red Sex,Vessel,unknown,unknown,unknown
449,The Blower's Daughter,Damien Rice,O,2002,14th Floor Records
450,Deers,Masayoshi Fujita,Feather,2012,Daymare Recordings
452,Breaking Up the Earth,Colleen,"A Lot of People Are Falling in Love, All Over the World",2013,Thrill Jockey
453,Sabré Divider,Silvana Estrada,Silvana Estrada,2019,Glassnote Records
454,Vincent,James Blake,The Colour in Anything,2016,Polydor Records
456,Chaconne from Partita in D minor BWV 1004,Johann Sebastian Bach feat. Ray Chen,Bach: Violin Partitas and Sonatas,2011,Sony Classical
457,Chaconne in G,Moondog,unknown,unknown,unknown
458,Autumn In New York,Ella Fitzgerald feat. Louis Armstrong,Ella and Louis Again,1957,Verve Records
459,Keep Your Name,Dirty Projectors,Dirty Projectors,2012,Domino Recording Company
460,Crawshay,Cymande,Cymande,1972,Janus Records
461,La temps de l'amour,Françoise Hardy,unknown,unknown,unknown
462,Air Mail,Don Cherry feat. Latif Khan,Mu,1969,Blue Note Records
463,Javanaise Remake - Dub Style,Serge Gainsbourg,unknown,unknown,unknown
464,Brother Where Are You - Matthew Herbert Remix,Frederic Brown Jr. feat. Matthew Herbert,unknown,unknown,unknown
466,The Cry,Japan,Quiet Life,1979,Hansa Records
467,Mother Sky,CAN,Future Days,1973,United Artists Records
468,Way Down In the Hole,Tom Waits,unknown,unknown,unknown
469,Singapore,Tom Waits,Small Change,1976,Asylum Records
470,Clap Hands,Tom Waits,Small Change,1976,Asylum Records
471,Moonshake,CAN,Soon Over Babaluma,1974,United Artists Records
475,By This River,Ryuichi Sakamoto feat. alva noto,Playing the Piano: 12/21.2009 at Tokyo Metropolitan Government Building,2010,Raster-Noton
476,Blue Train Lines,Mount Kimbie feat. King Krule,Crooks & Lovers,2010,Hotflush Recordings
477,This Is How We Walk On The Moon,Jack DeJohnette,Special Edition,1979,ECM Records
478,Space Carnival,The Comet Is Coming,Second Contact,2019,Impulse! Records
479,Piano Fire,Sparklehorse,Vivadixiesubmarinetransmissionplot,1995,EMI Records
480,Little Girl (feat. Julian Casablancas),Danger Mouse / Sparklehorse feat. Julian Casablancas,Dark Night of the Soul,2003,Nettwerk
483,To Earth - Radio Edit,Ariwo,unknown,unknown,unknown
484,Johannesburg,Rival Consoles,Howling,2015,Erased Tapes
485,Necessary Evil,Unknown Mortal Orchestra,II,2011,Jagjaguwar
487,Opps (with Yugen Blakrok),Vince Staples feat. Yugen Blakrok,FM!,2017,Def Jam
488,Time Axis Manipulation (Part 2),Trapist,unknown,unknown,unknown
489,Rapid Eye Movement,Radian,Radian IV,2011,Thrill Jockey
490,For You Too,Yo La Tengo,Painful,1993,Matador Records
491,Italy,Samiyam,Need,2009,Leaving Records
492,Moonlight,Masayoshi Fujita,Feather,2012,Daymare Recordings
493,Ravel String Quartet M. 35 II. Assez vif,Maurice Ravel feat. Quatuor Ébène,Ravel: String Quartet,2013,Naïve
494,Stay Out Of Trouble,Kings of Convenience,Riot On an Empty Street,2004,Source Records
495,Green Africa,Mulatu Astatke,Mulatu of Ethiopia,1976,Dakar
496,56,Ali Farka Touré feat. Toumani Diabaté,Ali & Toumani,2010,World Circuit
497,A1,DARKSIDE,Darkside,2013,Hyperdub
511,Soul Alphabet,Burial,Burial,2006,Hyperdub
513,Near Dark,Burial,Burial,2006,Hyperdub
514,Ghost Hardware,Burial,Archangel EP,2009,Hyperdub
515,Archangel,Burial,Archangel EP,2009,Hyperdub
516,Hawkmoth,Plaid feat. Barrett Walsh,Reachy Prints,2015,Warp Records
518,Migration,Arve Henriksen,Sakuteiki,2010,ECM Records
519,Het Volk,Pan-American,Pan-American,2000,Kranky
520,The Perfect Kiss,New Order,Low-life,1985,Factory Records
524,Buje Buje,Orlando Julius feat. The Heliocentrics,Afro Holics,2013,Strut Records
525,Needle In the Hay,Elliott Smith,Either/Or,1995,Tim/Kerr Records
526,Angeles,Elliott Smith,Either/Or,1995,Tim/Kerr Records
527,Between the Bars,Elliott Smith,Either/Or,1995,Tim/Kerr Records
528,Hands,Four Tet,Rounds,2003,Domino Recording Company
529,Glue Of the World,Four Tet,Rounds,2003,Domino Recording Company
530,Two Thousand and Seventeen,Four Tet,Sixteen Oceans,2017,Text Records
531,Lush,Four Tet,Rounds,2003,Domino Recording Company
532,P.F.J. III,Makaya McCraven feat. Ben LaMar Gay / Junius Paul / Nick Mazzarella,In the Moment,2015,International Anthem
533,The Animal Spirits,James Holden feat. The Animal Spirits,The Animal Spirits,2017,Hyperdub
534,Marilyn,Mount Kimbie feat. Micachu,Cold Spring Fault Less Youth,2013,Hotflush Recordings
535,In Your Eyes,BADBADNOTGOOD feat. Charlotte Day Wilson,Sour Times,2016,Innovative Leisure
536,OH,Feist,Metals,2011,Interscope Records
537,Les copains d'abord,Georges Brassens,unknown,unknown,unknown
538,Blue Velvet,Bobby Vinton,unknown,unknown,unknown
539,ELEMENT.,Kendrick Lamar,DAMN.,2017,Aftermath Entertainment
540,That's Life,Frank Sinatra,That's Life,1966,Reprise Records
541,Stranger On the Shore,Acker Bilk,Stranger on the Shore,1962,Atco Records
542,Deep River Blues,Doc Watson,unknown,unknown,unknown
543,This Land is Your Land,Woody Guthrie,unknown,unknown,unknown
544,Long Gone Lonesome Blues,Hank Williams,unknown,unknown,unknown
545,La Rumba Experimental - Motor City Drum Ensemble Remix,Gilles Peterson's Havana Cultura Band feat. Motor City Drum Ensemble,Havana Cultura,2013,Knitting Factory Records
546,Þú ert jörðin,Ólafur Arnalds,Re:member,2018,Kef Records
547,Ahoulaguine Akaline (I Greet My Country),Bombino,Nomad,2013,Nonesuch Records
611,Wish Fulfillment,Sonic Youth,Goo,1990,DGC Records
612,Silver Rocket,Sonic Youth,Goo,1990,DGC Records
613,Teen Age Riot,Sonic Youth,Daydream Nation,1988,Enigma Records
614,The Glow Pt. 2,The Microphones,The Glow Pt. 2,2001,Matador Records
615,I Want Wind to Blow,The Microphones,Glow,2017,Matador Records
616,Day One,The Microphones,The Glow Pt. 2,2001,Matador Records
618,All the Things You Are,Charlie Parker,unknown,unknown,unknown
619,Due Tempi,Paolo Angeli,unknown,unknown,unknown
620,Kisse,The Necks,Holmbush,2019,Corduroy
621,Friends And Neighbors,Ornette Coleman,unknown,unknown,unknown
622,Sweet Mountain,American Spring,unknown,unknown,unknown
623,Requiem Pour Un C...,Serge Gainsbourg,unknown,unknown,unknown
624,Sahel,Francis Bebey,Bebey,1975,Arista Records
625,Funkier Than a Mosquito's Tweeter,Nina Simone,unknown,unknown,unknown
627,Illusion - Alternate Take,Andrew Hill,Mosaic: Andrew Hill Anthology,2010,Mosaic Records
630,Afrika,Osborne,unknown,unknown,unknown
632,Cirrus,Bonobo,Black Sands,2010,Ninja Tune
633,Kerala,Bonobo,Black Sands,2010,Ninja Tune
634,The Rest of Us,Colin Stetson feat. Sarah Neufeld,Never Better,2015,Constellation
636,No Reason,Bonobo feat. Nick Murphy,Migration,2017,Ninja Tune
637,It's a Crime I Never Told You About the Diamonds in Your Eyes,The Black Heart Procession,The Black Heart Procession,2001,Touch and Go Records
638,Upwards,Black Flower,Black Flower,2008,Ba Da Bing
639,I Threw a Lemon at That Girl,Black Flower,Black Flower,2008,Ba Da Bing
640,Jungle Desert,Black Flower,Black Flower,2008,Ba Da Bing
641,Winter,Black Flower,Black Flower,2008,Ba Da Bing
642,Star Fishing,Black Flower,Black Flower,2008,Ba Da Bing
643,The Legacy of Prester John,Black Flower,Black Flower,2008,Ba Da Bing
644,Again I Lost It,Black Flower,Black Flower,2008,Ba Da Bing
645,Solar Eclipse,Black Flower,Black Flower,2008,Ba Da Bing
646,Intro,The Heliocentrics,Cymbal Lunch,2010,Strut Records
666,Walk On the Wild Side,Lou Reed,Transformer,1972,RCA Records
667,4 Skies,Arto Lindsay feat. Brian Eno & Amedeo Pace,unknown,unknown,unknown
668,Personagem,Arto Lindsay feat. Kassin & Davi Moraes,unknown,unknown,unknown
669,Assimetrica,Jun Miyake feat. Arto Lindsay,unknown,unknown,unknown
670,Illuminated,Arto Lindsay feat. Andres Levin & Melvin Gibbs,unknown,unknown,unknown
671,Simply Are,Arto Lindsay feat. Ryuichi Sakamoto & Melvin Gibbs,unknown,unknown,unknown
672,Soul Searching,Shigeto,Half,2012,Ghostly International
673,Detroit Part 1,Shigeto,Full,2011,Ghostly International
674,Clean Shahin,The Dwarfs of East Agouza,unknown,unknown,unknown
682,Rhapsody in Berlin Part 1 and 2,Idris Ackamoor feat. The Pyramids,Pyramids of the Nile,2001,Akasha
683,Baka of the Future,The Dwarfs of East Agouza,unknown,unknown,unknown
684,Everything Scatter,Fela Kuti,Teacher Don't Teach Me Nonsense,1986,Stern's African Records
716,Black Mans Word,Alton Ellis,unknown,unknown,unknown
717,Move on Up - Single Edit,Curtis Mayfield,Curtis,1970,Curtom Records
718,Life,James Booker,Classified,1988,Rounder Records
719,Play It Cool,Alton Ellis,unknown,unknown,unknown
720,Superfly,Curtis Mayfield,Superfly,1972,Curtom Records
721,Something You've Got,Alton Ellis & The Flames,unknown,unknown,unknown
722,Blood Money,10 Ft. Ganja Plant,unknown,unknown,unknown
723,Like Regular Chickens,Amon Tobin,Surge,1998,Ninja Tune
724,Quiet Village,Les Baxter,unknown,unknown,unknown
725,Ode to Bear,Mount Kimbie,Crooks & Lovers,2010,Hotflush Recordings
726,They Can't Take That Away From Me,Ella Fitzgerald feat. Louis Armstrong,Ella and Louis Again,1957,Verve Records
727,I,Rupert Clervaux feat. Beatrice Dillon,unknown,unknown,unknown
728,Colours,The Avalanches,Since I Left You,2000,XL Recordings
731,Maneiras - Live,Arto Lindsay,unknown,unknown,unknown
732,Recuring Dream,Elaquent,Elaquent,2011,Leaving Records
733,Caramel,Elaquent,Elaquent,2011,Leaving Records
734,Steps,Cecil Taylor,unknown,unknown,unknown
735,Exit! Part One,Fire! Orchestra,Exit!,2017,Strut Records
736,Ikeja Roads,Tony Allen,Afrobeat Is the Future,2020,Strut Records
737,Opening,Philip Glass feat. Martin Jacoby,unknown,unknown,unknown
738,Bird's Lament,Moondog,unknown,unknown,unknown
739,Air Mail,Don Cherry feat. Latif Khan,Mu,1969,Blue Note Records
740,Sinnerman - Live In New York/1965,Nina Simone,unknown,unknown,unknown
741,Abandon Window,Jon Hopkins,Emerald Rush,2011,Domino Recording Company
742,Hawk Punished,alva noto feat. Bryce Dessner,unknown,unknown,unknown
743,Rivers of Sand,Fennesz,Venice,2005,Mille Plateaux
744,Blue Dub,Moritz Von Oswald Trio,Moritz Von Oswald Trio,2010,Innervisions
746,Transparent Roads,The Necks,Holmbush,2019,Corduroy
747,Crazy,NEU!,Neu! 2,1973,Brain Records
748,Cello Suite No. 1 in G Major BWV 1007 I. Prélude,Johann Sebastian Bach feat. Yo-Yo Ma,Bach: Cello Suites Nos. 1-6,1983,CBS Records
749,Makoun Oumou,Fatoumata Diawara,Fatoumata,2011,Nonesuch Records
750,Le Sonnet Oublié,Michel Godard feat. Murat Coskun,Solitudes,1997,Musique d'Abord
751,De Conversa / Cravo E Canela - Medley,Caetano Veloso,unknown,unknown,unknown
752,Sénégal Fast-Food,Amadou & Mariam,Dimanche à Bamako,2001,Stern's African Records
753,King in My Empire (with Cornel Campbell),Rhythm & Sound feat. Cornell Campbell,Rhythm & Sound,2002,Burial Mix
754,Baltimore,Nina Simone,I Put a Spell on You,1965,Philips Records
755,The Touch Of Your Lips,Ben Webster feat. Oscar Peterson,unknown,unknown,unknown
